source_id,distance_to_subway,id
317925795,4.507648,317925795
316890985,0.534099,316890985
315030227,0.601323,315030227
316629371,0.147739,316629371
316666205,1.366798,316666205
313469021,6.478915,313469021
316895897,0.719294,316895897
315031610,2.942037,315031610
317713205,2.853811,317713205
317387641,7.591233,317387641
316632333,5.537117,316632333
316672052,1.925701,316672052
313472643,0.232186,313472643
317928834,0.934604,317928834
315037834,5.208239,315037834
316896656,1.554243,316896656
317716667,2.796697,317716667
317387827,5.470759,317387827
316632533,0.571699,316632533
316674577,-1.0,316674577
313475805,2.146578,313475805
315041093,0.456698,315041093
317717756,5.462551,317717756
316896731,-1.0,316896731
316634218,1.932255,316634218
313485203,0.611353,313485203
316674582,0.903955,316674582
317389421,0.612819,317389421
317719080,7.186592,317719080
313505992,7.822417,313505992
316896972,-1.0,316896972
316634337,1.023504,316634337
315051345,0.814425,315051345
316675112,3.718289,316675112
317389490,4.549382,317389490
317748043,4.31732,317748043
313514130,2.593432,313514130
316919326,2.6641,316919326
315061293,1.4047,315061293
316636763,7.988755,316636763
317755024,1.032421,317755024
317389495,1.122633,317389495
316675163,0.333653,316675163
313514131,2.000823,313514131
315061955,2.884566,315061955
316921582,3.495215,316921582
316638604,8.748453,316638604
317755989,0.777704,317755989
316675197,4.695571,316675197
317389654,0.367278,317389654
317908986,4.721199,317908986
315074846,-1.0,315074846
316927299,4.866379,316927299
313518020,2.17737,313518020
317756425,1.416774,317756425
316638611,1.417113,316638611
317939287,2.300861,317939287
317390959,4.695571,317390959
316675624,0.575996,316675624
317908988,0.70404,317908988
317758146,8.48544,317758146
316927510,1.251262,316927510
315076942,5.061174,315076942
317395139,0.499501,317395139
317941349,-1.0,317941349
316678649,3.719178,316678649
317909872,4.325556,317909872
313521722,2.344694,313521722
317766729,4.162308,317766729
317395665,0.886042,317395665
315085181,0.652921,315085181
316660342,2.73247,316660342
317941351,5.116105,317941351
313524704,1.639597,313524704
316932655,4.226339,316932655
316679071,4.117112,316679071
317766737,8.705978,317766737
317396812,3.048271,317396812
315085457,0.369835,315085457
317912164,4.022954,317912164
317943534,1.934179,317943534
316660343,3.411929,316660343
313527173,3.770525,313527173
316937096,2.798911,316937096
316679198,1.250924,316679198
317766742,1.264703,317766742
317397301,5.336982,317397301
315094962,5.618213,315094962
316660414,3.78061,316660414
317912487,0.383685,317912487
313529308,7.028963,313529308
316938494,0.227708,316938494
317945714,1.476962,317945714
316682324,0.945387,316682324
317770100,7.393073,317770100
316660567,5.314137,316660567
317913251,5.885748,317913251
313529707,0.72063,313529707
316938497,0.852317,316938497
315096875,4.035742,315096875
316682334,1.004454,316682334
317945764,1.364241,317945764
317771364,1.300116,317771364
316661854,4.118796,316661854
313529708,1.600189,313529708
317401437,-1.0,317401437
317913257,5.295545,317913257
316947524,4.3043,316947524
317946434,3.100995,317946434
315096878,-1.0,315096878
316682702,2.582935,316682702
317771371,2.922542,317771371
316971652,2.942037,316971652
317913262,4.084312,317913262
313530954,0.4607,313530954
317401527,1.821667,317401527
317949159,3.947732,317949159
315097055,2.942037,315097055
316661856,5.182015,316661856
317771742,0.58045,317771742
317969969,0.886314,317969969
315117993,7.384041,315117993
317404345,0.696539,317404345
313531471,1.089529,313531471
317913267,1.490963,317913267
