source_id,distance_to_subway,lat,lng,id
315653434,3.604503,56.275504,43.983421,315653434
315653439,3.469336,56.270096,43.976917,315653439
315653444,4.402176,56.235506,43.960684,315653444
315653448,5.785428,56.367981,43.825227,315653448
315653450,3.089532,56.354622,43.862957,315653450
315654335,3.593561,56.358647,43.858959,315654335
315654527,2.294296,56.321756,44.028121,315654527
315654532,3.924998,56.236216,43.952186,315654532
315655762,1.191483,56.246341,43.8404,315655762
315655768,1.191483,56.246341,43.8404,315655768
315656840,1.267312,56.231533,43.850254,315656840
315656851,5.103871,56.205045,43.809489,315656851
315657127,6.564517,56.244085,44.011385,315657127
315657132,5.429959,56.260948,44.004486,315657132
315657135,4.975555,56.309983,44.074025,315657135
315659627,2.25286,56.313553,43.883079,315659627
315659742,1.226606,56.340051,43.879225,315659742
315660442,2.714214,56.218116,43.8662,315660442
315661103,1.263766,56.287012,43.947982,315661103
315661597,1.290408,56.331892,43.874123,315661597
315663224,5.049399,56.291499,44.064952,315663224
315663235,0.861528,56.306103,43.995431,315663235
315663337,2.245056,56.293737,43.99023,315663337
315665100,0.669087,56.31899,43.999357,315665100
315665479,6.80439,56.361998,43.797721,315665479
315665501,0.944635,56.305314,43.993527,315665501
315675247,0.569216,56.246441,43.868068,315675247
315676682,0.59594,56.286822,43.936987,315676682
315680346,1.562133,56.319664,43.888604,315680346
315680394,0.60745,56.305584,43.933331,315680394
315680491,5.393198,56.267562,44.019892,315680491
315680920,0.355466,56.321591,43.952743,315680920
315681145,6.73254,56.361833,43.79888,315681145
315681725,5.73212,56.264057,44.017799,315681725
315683421,1.35284,56.325305,43.986924,315683421
315683505,5.743949,56.345115,43.804449,315683505
315683592,0.586935,56.322255,43.937903,315683592
315683681,1.597495,56.270956,43.888909,315683681
315685441,0.678303,56.341343,43.94906,315685441
315688289,0.961463,56.317148,44.008241,315688289
315689725,2.362748,56.348941,43.869101,315689725
315690312,0.802687,56.234865,43.858753,315690312
315690494,6.156993,56.285004,44.078831,315690494
315690622,0.771914,56.325369,43.937454,315690622
314556883,3.604577,55.723886,49.17368,314556883
314560030,1.093013,55.786753,49.14417,314560030
314564675,2.976047,55.833284,49.135448,314564675
314579918,2.052856,55.830457,49.050099,314579918
314580098,8.598289,55.80064,48.954437,314580098
314581633,1.890753,55.828501,49.052434,314581633
314585508,5.538264,55.800914,49.241628,314585508
314585740,1.138268,55.808518,49.08719,314585740
314596499,1.819922,55.77392,49.206675,314596499
314586692,3.269431,55.730649,49.169377,314586692
314597894,0.391505,55.746765,49.205983,314597894
314600703,4.777902,55.802538,49.203818,314600703
314601581,4.695571,55.806808,49.195491,314601581
314602284,1.595599,55.831964,49.058058,314602284
